type_of_day,cost_2pax_2night,cost_2pax_1night,room_type,bedrooms,person_capacity,host_is_superhost,cleanliness_rating,guest_satisfaction_overall,longitude,latitude,distance_km,dist_eiffel_tower_km,dist_louvre_museum_km,dist_notre_dame_cathedral_km,dist_arc_de_triomphe_km,dist_sacré_cœur_km,dist_musée_dorsay_km,dist_centre_pompidou_km,dist_luxembourg_gardens_km,dist_sainte_chapelle_km,dist_panthéon_km,dist_nearest_top_poi_km,dist_avg_top_pois_km,n_top_pois_within_1km,n_top_pois_within_2km,n_top_pois_within_3km,nearest_poi_band,lat_api,lon_api,n_geoapify_pois_total,n_geoapify_tourism,n_geoapify_attractions,n_geoapify_sights,n_geoapify_heritage,geoapify_tourism_density_score,geoapify_limit_hit
weekend,536.3966818902041,268.1983409451021,Entire home/apt,1,5.0,False,9.0,89.0,2.359,48.868,1.351201218155482,4.837461227401387,1.7684768353658418,1.795866097500866,4.725137591804243,2.382372747344627,2.5314841673576685,0.9615037781400644,2.901663153831397,1.7354592639489348,2.60395017545574,0.9615037781400644,2.624337503815077,1,4,8,0.5-1 km,48.87,2.36,20,10,6,7,15,41,
weekend,290.101593811166,145.050796905583,Private room,1,2.0,True,10.0,97.0,2.35385,48.86282,0.6998212418102902,4.369441689854477,1.2140928217490075,1.1295251343179546,4.474274552955723,2.769276710606397,2.017936871156909,0.2747822136727536,2.2134271958797807,1.0487647210286788,1.9352471870891237,0.2747822136727536,2.1446769098310807,1,5,8,0-0.5 km,48.86,2.35,20,13,12,7,9,47,
weekend,445.7544971572374,222.8772485786187,Entire home/apt,1,4.0,False,10.0,100.0,2.36023,48.86375,0.968981736277134,4.845052860941806,1.6920814293658613,1.4141998491837084,4.900208782118714,2.8428406439192697,2.495207754496875,0.6839129559671788,2.5782251544524724,1.4503215884238532,2.2118174617540145,0.6839129559671788,2.5113868480623758,1,4,8,0.5-1 km,48.86,2.36,20,11,1,10,13,35,
weekend,211.3430888246808,105.6715444123404,Private room,1,2.0,False,10.0,94.0,2.31714,48.87475,3.302318644783816,2.459197743512909,2.1714528434345666,3.4046636496404075,1.6226378771915473,2.3171728575681985,1.780112656506677,3.0086404163302447,3.4973820457039673,2.96352991497472,3.8125477031671706,1.6226378771915473,2.703733770803041,0,2,6,1-2 km,48.87,2.32,20,16,8,11,8,46,1.0
weekend,266.334234318203,133.1671171591015,Entire home/apt,1,2.0,True,9.0,88.0,2.33408,48.853840000000005,1.402429780168026,2.9397679368778746,0.7945667778907199,1.1612311095344807,3.6191254012199305,3.712946104579938,0.8767197331527629,1.5239290499499831,0.879668251515688,0.8175556316371178,1.2175409982497885,0.7945667778907199,1.7543050994608282,4,7,8,0.5-1 km,48.85,2.33,20,15,13,2,6,36,1.0
weekend,345.0927393046882,172.5463696523441,Entire home/apt,1,2.0,False,9.0,91.0,2.356,48.861,0.5475705325797227,4.5083554138743995,1.3467701550694144,0.995226782878624,4.68332491396512,3.0094163398835185,2.1536160238856774,0.28152136603159156,2.144822880957763,1.0175197044707436,1.8009955783458451,0.28152136603159156,2.1941569159362695,2,5,7,0-0.5 km,48.86,2.36,20,11,1,10,13,35,
weekend,387.03513840991707,193.51756920495853,Entire home/apt,1,2.0,True,10.0,96.0,2.342,48.853,0.8824168969642899,3.5266665498767766,0.9043144838508519,0.578007473108081,4.143619259491452,3.748132624081594,1.3693927454246253,1.1273970320675566,0.8337146043863748,0.345535588994001,0.8107949553853506,0.345535588994001,1.7387575316666664,5,7,7,0-0.5 km,48.85,2.34,20,14,12,3,8,38,1.0
weekend,247.9261813775748,123.9630906887874,Entire home/apt,1,4.0,False,7.0,82.0,2.35915,48.86648,1.1979198573657852,4.813844546484573,1.7065981101656988,1.6445768704114996,4.762036974667214,2.536301415196268,2.487685928732212,0.8282223660435112,2.7683949828541907,1.609164784447982,2.451680631321849,0.8282223660435112,2.5608506610325,1,4,8,0.5-1 km,48.87,2.36,20,10,6,7,15,41,
weekend,527.0761487557088,263.5380743778544,Entire home/apt,1,4.0,True,10.0,93.0,2.33201,48.85891,1.5432028946771832,2.7447138907488027,0.45005067932062887,1.4645680653035835,3.1733082906483063,3.1947799894268956,0.41391709560202977,1.4889186294546672,1.4634132195763871,1.027364383538428,1.7450292983043056,0.41391709560202977,1.7166063541924035,2,7,8,0-0.5 km,48.86,2.33,20,16,15,3,5,41,1.0
weekend,193.6340758691397,96.81703793456984,Private room,1,2.0,False,10.0,90.0,2.3067,48.87582,3.998175150587037,2.1326859389319406,2.823534556217727,4.052718764395462,0.8846531516477701,2.923760379579998,2.283221486459962,3.7336151554386072,3.9781869445037175,3.6061353474958353,4.3718488866150125,0.8846531516477701,3.0790360611286034,1,1,5,0.5-1 km,48.88,2.31,20,14,8,6,11,39,1.0
