,type_of_day,cost_2pax_2night,cost_2pax_1night,room_type,bedrooms,person_capacity,host_is_superhost,cleanliness_rating,guest_satisfaction_overall,longitude,latitude,distance_km
0,weekday,296.15994034858795,148.07997017429398,Private room,1,2.0,True,10.0,97.0,2.35385,48.86282,0.6998206055056153
1,weekday,288.23748718426697,144.11874359213348,Private room,1,2.0,True,10.0,97.0,2.32436,48.85902,2.1000054433997444
2,weekday,211.3430888246808,105.6715444123404,Private room,1,2.0,False,10.0,94.0,2.31714,48.87475,3.302325112770045
3,weekday,298.9561002889365,149.47805014446826,Entire home/apt,1,2.0,False,9.0,91.0,2.356,48.861,0.5475666761571238
4,weekday,247.9261813775748,123.9630906887874,Entire home/apt,1,4.0,False,7.0,82.0,2.35915,48.86648,1.1979209303289824
5,weekday,527.0761487557088,263.5380743778544,Entire home/apt,1,4.0,True,10.0,93.0,2.33201,48.85891,1.5432014736898958
6,weekday,193.6340758691397,96.81703793456985,Private room,1,2.0,False,10.0,90.0,2.3067,48.87582,3.9981755450888623
7,weekday,207.1488489141579,103.57442445707895,Entire home/apt,1,2.0,False,10.0,95.0,2.36075,48.86825,1.4252792256271227
8,weekday,345.0927393046882,172.5463696523441,Entire home/apt,0,2.0,False,9.0,94.0,2.33543,48.86767,1.771036454085218
9,weekday,741.4484108491006,370.7242054245503,Entire home/apt,1,3.0,False,10.0,91.0,2.3446700000000003,48.86352,0.9738332882504028
10,weekday,350.9180725137478,175.4590362568739,Private room,1,2.0,True,10.0,99.0,2.36172,48.86452,1.1022187867983728
11,weekday,239.30468822816667,119.65234411408333,Entire home/apt,0,2.0,False,9.0,89.0,2.3484,48.86815,1.326515258235181
12,weekday,242.7998881536024,121.3999440768012,Private room,1,2.0,True,10.0,99.0,2.35093,48.85061,0.6754932746879329
13,weekday,242.7998881536024,121.3999440768012,Private room,1,2.0,False,10.0,97.0,2.3506,48.86612,1.0735496100208106
14,weekday,845.6053686270855,422.8026843135427,Entire home/apt,1,4.0,False,8.0,80.0,2.30609,48.87234,3.8450067230808154
15,weekday,277.9849007363221,138.99245036816106,Private room,1,2.0,True,10.0,96.0,2.35564,48.85739,0.231161147860463
16,weekday,301.053220244198,150.526610122099,Entire home/apt,0,2.0,True,10.0,97.0,2.322,48.87,2.7046800565100027
17,weekday,301.053220244198,150.526610122099,Entire home/apt,1,2.0,False,10.0,97.0,2.33902,48.8551,1.0200214526113025
18,weekday,382.1418585143071,191.07092925715355,Private room,1,2.0,False,10.0,90.0,2.34653,48.8699,1.550722599721429
19,weekday,336.00521949855533,168.00260974927767,Entire home/apt,1,2.0,False,9.0,87.0,2.33735,48.86791,1.6927020388337328
20,weekday,484.2016963370305,242.10084816851526,Entire home/apt,1,2.0,False,10.0,96.0,2.3538,48.86394,0.8232619419926955
21,weekday,435.5019107092926,217.7509553546463,Entire home/apt,1,4.0,False,9.0,80.0,2.34713,48.86711,1.2423047865701249
22,weekday,463.46351011277847,231.73175505638923,Entire home/apt,1,4.0,False,10.0,93.0,2.31294,48.86943,3.250984870334394
23,weekday,318.29620654301425,159.14810327150713,Entire home/apt,0,2.0,False,9.0,94.0,2.34119,48.86274,1.0905859817014636
24,weekday,287.07242054245506,143.53621027122753,Private room,1,2.0,False,10.0,94.0,2.34349,48.87597,2.261274270190635
25,weekday,305.71348681144565,152.85674340572282,Private room,1,2.0,False,9.0,83.0,2.32478,48.85609,2.0521278096134616
26,weekday,815.7796625967005,407.88983129835026,Entire home/apt,2,6.0,False,10.0,88.0,2.35136,48.86722,1.188609506718735
27,weekday,968.403392674061,484.2016963370305,Entire home/apt,2,6.0,False,10.0,97.0,2.35917,48.86455,1.0047808657423136
28,weekday,968.403392674061,484.2016963370305,Entire home/apt,2,6.0,False,10.0,97.0,2.35871,48.866240000000005,1.16089101957288
29,weekday,469.0558299934757,234.52791499673785,Entire home/apt,2,4.0,False,9.0,89.0,2.36022,48.85629,0.5491368226297231
30,weekday,373.98639202162366,186.99319601081183,Entire home/apt,1,2.0,True,10.0,98.0,2.35258,48.87335,1.8657458952868613
31,weekday,287.3054338708174,143.6527169354087,Entire home/apt,1,2.0,False,9.0,91.0,2.34905,48.867740000000005,1.2713071391793795
32,weekday,619.815453443937,309.9077267219685,Entire home/apt,2,6.0,False,10.0,92.0,2.35816,48.86382,0.8987935352912475
33,weekday,382.1418585143071,191.07092925715355,Entire home/apt,1,4.0,False,10.0,97.0,2.33218,48.85378,1.5401525941431324
34,weekday,426.4143909031597,213.20719545157985,Entire home/apt,2,3.0,False,9.0,97.0,2.32912,48.85732,1.735111908350752
35,weekday,486.5318296206543,243.26591481032716,Entire home/apt,0,4.0,False,9.0,95.0,2.35327,48.8537,0.3210260908442157
36,weekday,169.63370304781435,84.81685152390718,Entire home/apt,0,2.0,True,10.0,95.0,2.36095,48.8631,0.9431780258015048
37,weekday,289.4025538260789,144.70127691303944,Entire home/apt,0,2.0,False,8.0,88.0,2.3566700000000003,48.86327,0.7988190800513525
38,weekday,833.9547022089664,416.9773511044832,Private room,2,4.0,False,9.0,92.0,2.3599,48.86432,1.0090501853284664
39,weekday,632.3981731755057,316.19908658775284,Entire home/apt,2,6.0,False,9.0,84.0,2.361,48.862,0.855194712630174
40,weekday,697.4088917886103,348.70444589430514,Private room,1,4.0,False,10.0,92.0,2.321,48.869,2.7077633809973403
41,weekday,428.5115108584211,214.25575542921055,Private room,1,3.0,False,9.0,82.0,2.321,48.869,2.707753900773433
42,weekday,312.7038866623171,156.35194333115854,Entire home/apt,0,2.0,False,9.0,93.0,2.36003,48.85463,0.5760928605670635
43,weekday,366.0639388573027,183.03196942865134,Entire home/apt,0,3.0,False,9.0,90.0,2.3341,48.87415,2.385525246348725
44,weekday,689.253425295927,344.6267126479635,Entire home/apt,1,2.0,True,10.0,98.0,2.31622,48.871390000000005,3.1451743465433606
45,weekday,423.8512442911735,211.92562214558674,Private room,1,2.0,False,10.0,90.0,2.36157,48.86226,0.9052381206341676
46,weekday,318.29620654301425,159.14810327150713,Entire home/apt,1,2.0,False,9.0,88.0,2.35776,48.87248,1.806810160382655
47,weekday,474.6481498741728,237.3240749370864,Entire home/apt,1,4.0,True,10.0,97.0,2.33,48.86494,1.9104681080975776
48,weekday,660.1267592506291,330.06337962531455,Entire home/apt,1,3.0,True,10.0,97.0,2.34744,48.86212,0.729763580122559
49,weekday,263.7710877062168,131.8855438531084,Entire home/apt,0,2.0,False,9.0,92.0,2.35031,48.86953,1.45207109046346
50,weekday,606.7667070556436,303.3833535278218,Entire home/apt,1,5.0,False,10.0,100.0,2.331,48.87,2.1849244591772226
51,weekday,291.7326871097027,145.86634355485134,Entire home/apt,1,2.0,False,9.0,90.0,2.35246,48.86979,1.470104231986
52,weekday,589.7567340851897,294.87836704259485,Entire home/apt,1,6.0,False,9.0,85.0,2.329,48.853,1.7865255523730286
53,weekday,555.9698014726442,277.9849007363221,Entire home/apt,0,2.0,False,9.0,86.0,2.35026,48.86997,1.5010833109477129
54,weekday,422.91919097772393,211.45959548886196,Entire home/apt,1,2.0,True,10.0,98.0,2.343,48.853,0.8175393566865582
55,weekday,469.0558299934757,234.52791499673785,Entire home/apt,1,5.0,False,8.0,88.0,2.36071,48.85814,0.6097926030409977
56,weekday,524.746015472085,262.3730077360425,Entire home/apt,1,5.0,False,9.0,95.0,2.35181,48.86725,1.1895763877092065
57,weekday,921.1016870164974,460.5508435082487,Entire home/apt,2,6.0,False,10.0,95.0,2.35011,48.8669,1.164845883218314
58,weekday,880.5573678814428,440.2786839407214,Entire home/apt,1,2.0,False,9.0,93.0,2.33718,48.85376,1.1837402177493352
59,weekday,486.2988162922919,243.14940814614596,Entire home/apt,1,4.0,False,9.0,91.0,2.33177,48.87529,2.5881974089995707
60,weekday,434.3368440674807,217.16842203374034,Entire home/apt,1,2.0,False,10.0,100.0,2.36291,48.86257,1.0005835755138404
61,weekday,284.9753005871936,142.4876502935968,Entire home/apt,1,2.0,True,10.0,93.0,2.34484,48.85072,0.8711108211081108
62,weekday,393.79252493242615,196.89626246621307,Private room,1,4.0,False,8.0,87.0,2.30765,48.8733,3.794679540725772
63,weekday,405.4431913505453,202.72159567527265,Private room,1,2.0,False,10.0,88.0,2.321,48.869,2.7077730934108484
64,weekday,287.3054338708174,143.6527169354087,Entire home/apt,0,2.0,False,9.0,92.0,2.34838,48.86795,1.3052973945735564
65,weekday,230.9162084071209,115.45810420356045,Entire home/apt,0,2.0,False,10.0,94.0,2.36512,48.86234,1.111599512062068
66,weekday,577.8730543387082,288.9365271693541,Entire home/apt,0,2.0,False,9.0,93.0,2.32693,48.85929,1.9177035159062907
67,weekday,973.7626992263956,486.8813496131978,Entire home/apt,2,5.0,False,9.0,96.0,2.313,48.87,3.275414148236681
68,weekday,606.7667070556436,303.3833535278218,Entire home/apt,1,6.0,False,10.0,96.0,2.341,48.87,1.7240135892394983
69,weekday,324.12153975207383,162.06076987603691,Entire home/apt,0,2.0,False,10.0,91.0,2.30921,48.8733,3.695382503506768
70,weekday,594.4170006524373,297.20850032621865,Entire home/apt,1,6.0,False,9.0,90.0,2.354,48.868,1.2742995190861257
71,weekday,448.3176437692236,224.1588218846118,Entire home/apt,1,4.0,False,8.0,82.0,2.34963,48.85723,0.2401619325140012
72,weekday,340.4324727374406,170.2162363687203,Entire home/apt,0,2.0,False,9.0,65.0,2.35051,48.85738,0.1872602312450329
73,weekday,277.9849007363221,138.99245036816106,Private room,1,2.0,True,9.0,93.0,2.34516,48.8673,1.3165103718549946
74,weekday,266.334234318203,133.1671171591015,Entire home/apt,0,4.0,False,7.0,79.0,2.35305,48.87025,1.5212593771282514
75,weekday,1187.4359213347004,593.7179606673502,Private room,2,4.0,False,10.0,92.0,2.36534,48.86481,1.3011637503509013
76,weekday,741.4484108491006,370.7242054245503,Entire home/apt,2,4.0,False,9.0,95.0,2.3304,48.86606,1.9493867048510336
77,weekday,213.44020877994225,106.72010438997113,Entire home/apt,1,3.0,False,8.0,85.0,2.36323,48.86317,1.0630900626374928
78,weekday,448.3176437692236,224.1588218846118,Entire home/apt,1,4.0,False,7.0,69.0,2.34484,48.86153,0.8004333145834808
79,weekday,330.17988628949576,165.08994314474788,Entire home/apt,0,2.0,False,8.0,88.0,2.352,48.87,1.4943084707253171
80,weekday,814.3815826265262,407.1907913132631,Entire home/apt,1,6.0,False,9.0,92.0,2.35197,48.86961,1.4510790835975325
