,type_of_day,cost_2pax_2night,cost_2pax_1night,room_type,bedrooms,person_capacity,host_is_superhost,cleanliness_rating,guest_satisfaction_overall,longitude,latitude,distance_km
0,weekend,536.3966818902041,268.1983409451021,Entire home/apt,1,5.0,False,9.0,89.0,2.359,48.868,1.351201218155482
1,weekend,290.101593811166,145.050796905583,Private room,1,2.0,True,10.0,97.0,2.35385,48.86282,0.6998212418102902
2,weekend,445.7544971572374,222.8772485786187,Entire home/apt,1,4.0,False,10.0,100.0,2.36023,48.86375,0.968981736277134
3,weekend,211.3430888246808,105.6715444123404,Private room,1,2.0,False,10.0,94.0,2.31714,48.87475,3.3023186447838158
4,weekend,266.334234318203,133.1671171591015,Entire home/apt,1,2.0,True,9.0,88.0,2.33408,48.853840000000005,1.402429780168026
5,weekend,345.0927393046882,172.5463696523441,Entire home/apt,1,2.0,False,9.0,91.0,2.356,48.861,0.5475705325797227
6,weekend,387.03513840991707,193.51756920495853,Entire home/apt,1,2.0,True,10.0,96.0,2.342,48.853,0.8824168969642899
7,weekend,247.9261813775748,123.9630906887874,Entire home/apt,1,4.0,False,7.0,82.0,2.35915,48.86648,1.1979198573657852
8,weekend,527.0761487557088,263.5380743778544,Entire home/apt,1,4.0,True,10.0,93.0,2.33201,48.85891,1.5432028946771832
9,weekend,193.6340758691397,96.81703793456985,Private room,1,2.0,False,10.0,90.0,2.3067,48.87582,3.998175150587037
10,weekend,207.1488489141579,103.57442445707895,Entire home/apt,1,2.0,False,10.0,95.0,2.36075,48.86825,1.4252839411318254
11,weekend,345.0927393046882,172.5463696523441,Entire home/apt,0,2.0,False,9.0,94.0,2.33543,48.86767,1.7710303604787752
12,weekend,263.7710877062168,131.8855438531084,Entire home/apt,0,2.0,False,9.0,89.0,2.3484,48.86815,1.3265047873282738
13,weekend,242.7998881536024,121.3999440768012,Private room,1,2.0,False,10.0,97.0,2.3506,48.86612,1.0736173913441365
14,weekend,382.1418585143071,191.07092925715355,Private room,1,2.0,False,10.0,90.0,2.34653,48.8699,1.5507103326617762
15,weekend,372.82132537981175,186.41066268990588,Entire home/apt,1,2.0,False,9.0,87.0,2.33735,48.86791,1.692704376248126
16,weekend,484.2016963370305,242.10084816851526,Entire home/apt,1,2.0,False,10.0,96.0,2.3538,48.86394,0.8232881307325709
17,weekend,435.5019107092926,217.7509553546463,Entire home/apt,1,4.0,False,9.0,80.0,2.34713,48.86711,1.2422882194751153
18,weekend,509.8331624568925,254.91658122844626,Entire home/apt,1,4.0,False,10.0,93.0,2.31294,48.86943,3.2509692283680987
