,hotel_name,latitude,longitude,city_name,address_lines,search_city
0,Maison Albar-Le Champs-Elysees,48.87541,2.29453,Paris,3 Avenue Mac Mahon,Paris
1,Occidental Paris Levallois,48.89818,2.28087,Paris,"8 Place Georges Pompidou, Levallois Perret",Paris
2,Wldrf Astoria Versailles Trianon Palace,48.81067,2.12022,Versailles - Paris,1 Boulevard De La Reine,Paris
3,The Peninsula Paris,48.87073,2.2934,Paris,19 Avenue Kleber,Paris
4,Hilton Paris Defense,48.89305,2.23857,La Defense,"2 Place De La Defense, Cnit-B",Paris
5,Maison Albar - Le Vendome,48.87177,2.33476,Paris,7 Rue Du Helder,Paris
6,Innside Paris Charles De Gaulle Airport,49.00875,2.54852,Roissy En France,9 Rue Du Voyageur,Paris
7,25Hours Terminus Nord,48.87957,2.35513,Paris,12 Boulevard De Denain,Paris
8,Le Royal Monceau Raffles Paris,48.8758,2.30015,Paris,"37,  Avenue Hoche",Paris
9,Hotel Le Bellechasse Saint-Germain,48.85965,2.3241,Paris,"8, Rue De Bellechasse",Paris
10,Hilton Paris Opera,48.8757,2.32553,Paris,"108, Rue Saint Lazare",Paris
11,Intercontinental Paris Le Gran,48.87098,2.33042,Paris,2 Rue Scribe,Paris
12,Maison Albar - Le Diamond,48.87538,2.32341,Paris,4 Rue De La Pepiniere,Paris
13,Le Meridien Paris Arc De Triomphe,48.87948,2.28499,Paris,81 Boulevard Gouvion Saint Cyr,Paris
14,Kopster Hotel Paris Porte De Versailles,48.83659,2.27891,Paris,1 Boulevard Victor Paris,Paris
15,Hotel Plaza Athenee,48.86618,2.30426,Paris,25 Avenue Montaigne,Paris
16,Le Meurice,48.86513,2.32812,Paris,228 Rue De Rivoli,Paris
17,Kopster Hotel Residence Paris Colombes,48.93329,2.25455,Colombes,63 Rue Germaine Tillion,Paris
18,Bw Quartier Latin Pantheon,48.84365,2.35246,Paris,71 Rue Monge,Paris
19,Ibis Budget Issy Les Moulineaux Ouest,48.82426,2.26067,Issy-Les-Moulineaux,"12 Rue Jacques Henri Lartigue, Zac Garibaldi",Paris
20,Belfort,48.85696,2.38486,Paris,22 Rue De Belfort,Paris
21,Ibis Marne La Vallee Noisy,48.83779,2.54171,Noisy Le Grand,"4 Allee Bienvenue, Noisy Horizon",Paris
22,Abbaye Des Vaux De Cernay,48.68589,1.9312,Cernay La Ville,"Domaine De L Abbaye, Des Vaux De Cernay",Paris
23,Bresil Opera,48.87238,2.34478,Paris,"23, Rue Bergere",Paris
24,Hotel Fougere,48.85504,2.33372,Paris,36 Rue Bonaparte,Paris
25,Hotel Ascot Opera,48.86826,2.33523,Paris,2 Rue Monsigny,Paris
26,Hotel Bourg Tibourg,48.85722,2.35591,Paris,19 Rue Du Bourg Tibourg,Paris
27,Hc Hotel Kabanel,48.87653,2.35417,Paris,"21 Rue De Chabrol, 10Th Disctrict",Paris
28,Hc Etoile Saint Ferdinand,48.87775,2.28728,Paris,36 Rue Saint Ferdinand,Paris
29,Ibis Clamart Paris Velizy,48.78285,2.24439,Clamart,350 Avenue General De Gaulle,Paris
30,Hotel Volney Opera,48.8698,2.33019,Paris,11 Rue Volney,Paris
31,Novotel Paris Pont De Sevres,48.82684,2.22119,Sevres,11 Grande Rue,Paris
32,B&B Hotel Paris Sud - Chatenay Malabry,48.76152,2.28686,Chatenay Malabry,53 Avenue De La Division Leclerc,Paris
33,Monceau-Elysees,48.88004,2.3024,Paris,108 Rue De Courcelles,Paris
34,Hotel 85 Saint Honore,48.86112,2.34364,Paris,85 Rue Saint Honore,Paris
35,Kyriad Meaux,48.95656,2.90809,Meaux,32 Avenue De La Victoire,Paris
36,Ibis Issy Les Moulineaux,48.82245,2.25732,Issy Les Moulineaux,213 Rue Jean Jacques Rousseau,Paris
37,Og Saint-Laurent,48.7764,1.80988,Montfort L Amaury,2 Place Lebreton,Paris
38,Hotel Saint Germain,48.85473,2.32423,Paris,88 Rue Du Bac,Paris
39,Adagio Access Paris Bastille,48.84954,2.37234,Paris,11 Rue Moreau,Paris
40,Campanile Evry Ouest Corbeil Essonnes,48.60984,2.4538,Corbeil Essonnes,22 Avenue Paul Maintenant,Paris
41,L Hotel Du Collectionneur Paris,48.87679,2.30758,Paris,51-57 Rue De Courcelles,Paris
